Term,Score,Polarity,isAcquired,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
kind,0.79021937,POS,Y,"IÃ¢ÂÂve never heard anything about MS causing added brain fluid, or a special <span class=""OP"">kind</span> of fluid in one part of your system.","So for years before dx I would get migraines, always in a specific spot, and I always <span class=""OP"">kind</span> of wondered in the back of my mind if something was going on...","That <span class=""OP"">kind</span> of testing has large moral issues to consider, and that's why it will take much longer for any of that hard evidence to become available.","That doesn't make any <span class=""OP"">kind</span> of sense, but whatever, as long as you're feeling good!","My left side still can't hold the <span class=""OP"">kind</span> of definition","ItÃ¢ÂÂs hard and scary to tackle this <span class=""OP"">kind</span> of change alone.","He <span class=""OP"">kind</span> of offered them, he said I could get steroids if I want","donÃ¢ÂÂt forget to be <span class=""OP"">kind</span> to yourself.","I'm just asking if anyone else has that <span class=""OP"">kind</span> of pain","I just want a diagnosis to start some <span class=""OP"">kind</span> of treatment.","Thank you so much for the reply and <span class=""OP"">kind</span> words.","This feels like the <span class=""OP"">kind</span> of tired that I can't fix with caffeine.","" response, or I can be <span class=""OP"">kind</span> of rude and ask what your physical capabilities are knowing that it's none of my business. :-)","What <span class=""OP"">kind</span> of work do you do?","Did your specialist offer you what <span class=""OP"">kind</span> of future you may have?","For me at least, I'm not the <span class=""OP"">kind</span> of person that gets affected by reading up on things like side effects of a disease or a new drug.","His nutrition has <span class=""OP"">kind</span> of gone by the wayside which concerns me, but I have my own problems that also frankly make fast food and frozen entrees a lot easier.","","","",
quick,0.9995785,POS,Y,"Also, just a <span class=""OP"">quick</span> note on permanent symptoms - my neuro said that you start to consider a neurological symptom to be permanent after a year, so there's still time for your symptoms from this list relapse to improve.","I had a <span class=""OP"">quick</span> Google and didn't see anything.","not at all, very <span class=""OP"">quick</span> 20 mins intravenous""","""hey. just want to do a <span class=""OP"">quick</span> CT and make sure I'm not bleeding up here.","Acceptance has come pretty <span class=""OP"">quick</span> for me, but that might be because it took years for me to get diagnosed and I'm essentially an incomplete quad at this point so had gotten used to the idea of being disabled in general.","It has a drawback, though, which is being <span class=""OP"">quick</span> to build tolerance.","I haven't had any bills to deal with, but there are no <span class=""OP"">quick</span> answers here.","DMT ASAP (like soon, a <span class=""OP"">quick</span> few Tysabri infusions would be good while you decide on your ultimate DMT).","The last MRI I had was head, neck and spine and they ran the normal scans for all 3 first, got the contrast and then a <span class=""OP"">quick</span> scan on all 3 again.","but now I have a very short fuse and am <span class=""OP"">quick</span> to anger.","IÃ¢ÂÂll get his ass off the life support so <span class=""OP"">quick</span> that oneÃ¢ÂÂs head will spin.","So as a <span class=""OP"">quick</span> recap","Wishing you a fast recovery and a <span class=""OP"">quick</span> start on your next meds!","Getting used to injecting yourself is a super <span class=""OP"">quick</span> process too, so I wouldn't be too worried about that part.","Your question has been asked a lot recently so I would do a <span class=""OP"">quick</span> search on here, but it's true that there is no 'normal'.","A <span class=""OP"">quick</span> lesson.","I used to be a <span class=""OP"">quick</span> thinker","","","",
scoffingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scold,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scolded,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scolding,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scoldingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scorching,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scorchingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scorn,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scornful,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scornfully,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scoundrel,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scourge,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scowl,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scramble,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scrambled,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scrambles,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scrambling,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scrap,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scratch,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scratched,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scratches,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scratchy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scream,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
screech,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
screw-up,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
screwed,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
screwed-up,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
screwy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scuff,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scuffs,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scum,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
scummy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
seamless,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
seasoned,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
second-class,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
second-tier,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
secretive,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
secure,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
securely,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sedentary,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
seedy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
seethe,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
seething,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
selective,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
self-coup,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
self-criticism,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
self-defeating,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
self-destructive,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
self-determination,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
self-humiliation,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
self-interest,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
self-interested,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
self-respect,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
self-satisfaction,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
self-serving,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
self-sufficiency,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
self-sufficient,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
selfinterested,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
selfish,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
selfishly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
selfishness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
semi-retarded,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
senile,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sensation,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sensational,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sensationalize,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sensationally,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sensations,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
senseless,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
senselessly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sensible,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sensibly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sensitive,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
serene,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
serenity,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
seriousness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sermonize,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
servitude,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
set-up,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
setback,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
setbacks,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sever,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
severe,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
severity,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sexy,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sh*t,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shabby,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shadowy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shady,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shake,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shaky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shallow,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sham,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shambles,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shame,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shameful,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shamefully,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shamefulness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shameless,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shamelessly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shamelessness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shark,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sharp,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sharper,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sharpest,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sharply,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shatter,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shemale,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shimmer,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shimmering,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
shimmeringly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
shimmy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shine,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
shiny,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
shipwreck,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shirk,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shirker,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shit,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shiver,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shock,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shocked,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shocking,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shockingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shoddy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
short-lived,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shortage,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shortchange,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shortcoming,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shortcomings,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shortness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shortsighted,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shortsightedness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
showdown,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shrew,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shriek,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shrill,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shrilly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shrivel,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shroud,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shrouded,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shrug,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shun,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
shunned,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sick,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sicken,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sickening,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sickeningly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sickly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sickness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sidetrack,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sidetracked,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
siege,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
significant,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
silent,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sillily,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
silly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
simpler,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
simplest,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
simplified,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
simplifies,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
simplify,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
simplifying,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
simplistic,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
simplistically,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sin,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sincere,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sincerely,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sincerity,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sinful,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sinfully,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sinister,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sinisterly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sink,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sinking,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
skeletons,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
skeptic,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
skeptical,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
skeptically,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
skepticism,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sketchy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
skill,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
skilled,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
skillful,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
skillfully,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
skimpy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
skinny,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
skittish,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
skittishly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
skulk,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slack,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slammin,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
slander,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slanderer,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slanderous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slanderously,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slanders,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slap,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slashing,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slaughter,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slaughtered,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slave,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slaves,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sleazy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sleek,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
slick,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
slime,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slog,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slogged,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slogging,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slogs,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sloooooooooooooow,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sloooow,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slooow,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sloow,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sloppily,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sloppy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sloth,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slothful,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slow,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slow-moving,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slowed,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slower,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slowest,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slowly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sloww,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slowww,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slowwww,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slug,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sluggish,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slump,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slumping,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slumpping,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slur,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
slut,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sluts,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smack,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smallish,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smart,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
smarter,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
smartest,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
smartly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
smash,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smear,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smell,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smelled,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smelling,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smells,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smelly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smelt,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smile,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
smiles,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
smiling,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
smilingly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
smitten,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
smoke,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smokescreen,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smolder,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smoldering,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smooth,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
smoother,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
smoothes,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
smoothest,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
smoothly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
smother,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smoulder,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smouldering,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smudge,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smudged,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smudges,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smudging,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smug,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smugly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smut,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smuttier,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smuttiest,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
smutty,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snag,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snagged,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snagging,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snags,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snappish,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snappishly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snappy,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
snare,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snarky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snarl,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snazzy,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sneak,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sneakily,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sneaky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sneer,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sneering,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sneeringly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snob,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snobbish,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snobby,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snobish,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snobs,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
snub,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
so-cal,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
soapy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sob,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sober,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sobering,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sociable,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
soft,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
softer,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
solace,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
solemn,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
solicitous,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
solicitously,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
solicitude,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
solid,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
solidarity,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
somber,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
soothe,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
soothingly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sophisticated,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sore,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sorely,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
soreness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sorrow,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sorrowful,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sorrowfully,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sorry,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
soulful,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
soundly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
soundness,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sour,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sourly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spacious,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
spade,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spank,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
sparkle,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
sparkling,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
spectacular,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
spectacularly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
speedily,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
speedy,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
spellbind,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
spellbinding,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
spellbindingly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
spellbound,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
spendy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spew,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spewed,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spewing,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spews,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spilling,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spinster,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spirited,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
spiritless,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spiritual,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
spite,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spiteful,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spitefully,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spitefulness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
splatter,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
splendid,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
splendidly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
splendor,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
split,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
splitting,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
spoil,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
